"sp" "spn" "depth" "taxa" "ntip"
"species" 144 0.00849098830813351 "Zotu235_P1_G03_33TCONS3_S506_N702;size=2" 8
"species" 144 0.00849098830813351 "Zotu189_P1_H09_37TCONS7_S508_N705;size=1" 8
"species" 144 0.00849098830813351 "Zotu198_P1_G02_20MMC2_S502_N702;size=1" 8
"species" 144 0.00849098830813351 "Zotu151_P1_G02_20MMC2_S502_N702;size=1" 8
"species" 143 0.00359929762746443 "Zotu230_P3_A01_85ACON7_S507_N710;size=1" 2
"species" 143 0.00359929762746443 "Zotu260_P3_G02_82ACON4_S506_N711;size=1" 2
"species" 73 0.00542740385041745 "Zotu87_P2_C01_18IZTAC3_S503_N707;size=2" 3
"species" 73 0.00542740385041745 "Zotu158_P2_C01_18IZTAC3_S503_N707;size=1" 3
"species" 73 0.00542740385041745 "Zotu56_P4_E03_122ACON12_S504_N704;size=1" 3
"species" 115 0.00359176832970972 "Zotu252_P1_D07_35TCONS5_S506_N704;size=2" 2
"species" 115 0.00359176832970972 "Zotu134_P2_E03_72SHCON3_S505_N708;size=1" 2
"species" 80 0.00319729699387984 "Zotu228_P1_D05_13SHC4C1_S505_N703;size=6" 4
"species" 80 0.00319729699387984 "Zotu248_P1_D05_13SHC4C1_S505_N703;size=2" 4
"species" 80 0.00319729699387984 "Zotu233_P1_G03_33TCONS3_S506_N702;size=2" 4
"species" 80 0.00319729699387984 "Zotu172_P1_H08_70SHCON1_S504_N705;size=2" 4
"species" 173 0.00542098016028088 "Zotu146_P1_D07_35TCONS5_S506_N704;size=2" 4
"species" 173 0.00542098016028088 "Zotu132_P1_H09_37TCONS7_S508_N705;size=1" 4
"species" 173 0.00542098016028088 "Zotu145_P1_H09_37TCONS7_S508_N705;size=1" 4
"species" 173 0.00542098016028088 "Zotu144_P1_H01_75SHCON6_S506_N701;size=1" 4
"species" 191 0.00601598872820769 "Zotu107_P1_D05_13SHC4C1_S505_N703;size=3" 2
"species" 191 0.00601598872820769 "Zotu240_P2_A01_16IZPOC1_S502_N707;size=1" 2
"species" 43 0.00603033761540342 "Zotu205_P1_E02_21MMC3_S517_N701;size=2" 2
"species" 43 0.00603033761540342 "Zotu71_P1_G02_20MMC2_S502_N702;size=2" 2
"species" 68 0.00119355138485481 "Zotu236_P1_D05_13SHC4C1_S505_N703;size=3" 2
"species" 68 0.00119355138485481 "Zotu53_P2_A02_76SHCON7_S506_N707;size=2" 2
"species" 45 0.00119355138485481 "Zotu236_P3_E03_86ACON8_S517_N711;size=1" 2
"species" 45 0.00119355138485481 "Zotu346_P3_G06_108ACON21_S506_N701;size=1" 2
"species" 58 0.00359176832970972 "Zotu116_P2_E03_72SHCON3_S505_N708;size=4" 2
"species" 58 0.00359176832970972 "Zotu181_P3_A01_85ACON7_S507_N710;size=2" 2
"species" 59 0.0106140154151023 "Zotu93_P1_D07_35TCONS5_S506_N704;size=4" 8
"species" 59 0.0106140154151023 "Zotu210_P1_H09_37TCONS7_S508_N705;size=2" 8
"species" 59 0.0106140154151023 "Zotu275_P3_A02_39TCONSER9_S503_N711;size=1" 8
"species" 59 0.0106140154151023 "Zotu173_P1_D07_35TCONS5_S506_N704;size=3" 8
"species" 59 0.0106140154151023 "Zotu286_P3_A02_39TCONSER9_S503_N711;size=1" 8
"species" 59 0.0106140154151023 "Zotu176_P1_H09_37TCONS7_S508_N705;size=2" 8
"species" 59 0.0106140154151023 "Zotu126_P2_G01_87ACONS9_S505_N707;size=1" 8
"species" 59 0.0106140154151023 "Zotu284_P3_A02_39TCONSER9_S503_N711;size=1" 8
"species" 167 0.00299253202821019 "Zotu178_P1_E02_21MMC3_S517_N701;size=1" 3
"species" 167 0.00299253202821019 "Zotu144_P1_E02_21MMC3_S517_N701;size=2" 3
"species" 167 0.00299253202821019 "Zotu188_P1_E02_21MMC3_S517_N701;size=1" 3
"species" 159 0.00119270069966945 "Zotu89_P1_E02_21MMC3_S517_N701;size=2" 2
"species" 159 0.00119270069966945 "Zotu118_P1_E02_21MMC3_S517_N701;size=2" 2
"species" 156 0.00755433693081727 "Zotu3_P1_E02_21MMC3_S517_N701;size=3" 8
"species" 156 0.00755433693081727 "Zotu15_P1_E02_21MMC3_S517_N701;size=3" 8
"species" 156 0.00755433693081727 "Zotu5_P1_E02_21MMC3_S517_N701;size=3" 8
"species" 156 0.00755433693081727 "Zotu171_P1_E02_21MMC3_S517_N701;size=1" 8
"species" 156 0.00755433693081727 "Zotu2_P1_E02_21MMC3_S517_N701;size=1" 8
"species" 156 0.00755433693081727 "Zotu107_P1_H04_19MMC1_S503_N703;size=1" 8
"species" 156 0.00755433693081727 "Zotu82_P1_H04_19MMC1_S503_N703;size=1" 8
"species" 156 0.00755433693081727 "Zotu144_P1_H04_19MMC1_S503_N703;size=1" 8
"species" 158 0.0118240010761159 "Zotu189_P1_E02_21MMC3_S517_N701;size=2" 11
"species" 158 0.0118240010761159 "Zotu152_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu217_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu196_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu159_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu169_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu219_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu206_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu187_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu155_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 158 0.0118240010761159 "Zotu225_P1_G02_20MMC2_S502_N702;size=1" 11
"species" 184 0.00685744929247491 "Zotu141_P1_B08_17IZPOC2_S517_N704;size=3" 7
"species" 184 0.00685744929247491 "Zotu99_P1_B08_17IZPOC2_S517_N704;size=2" 7
"species" 184 0.00685744929247491 "Zotu87_P1_B08_17IZPOC2_S517_N704;size=1" 7
"species" 184 0.00685744929247491 "Zotu202_P2_C01_18IZTAC3_S503_N707;size=1" 7
"species" 184 0.00685744929247491 "Zotu121_P1_B08_17IZPOC2_S517_N704;size=1" 7
"species" 184 0.00685744929247491 "Zotu259_P2_C01_18IZTAC3_S503_N707;size=1" 7
"species" 184 0.00685744929247491 "Zotu250_P2_A01_16IZPOC1_S502_N707;size=1" 7
"species" 185 0.0124820327356381 "Zotu245_P1_B08_17IZPOC2_S517_N704;size=1" 6
"species" 185 0.0124820327356381 "Zotu216_P2_A01_16IZPOC1_S502_N707;size=1" 6
"species" 185 0.0124820327356381 "Zotu198_P1_B08_17IZPOC2_S517_N704;size=1" 6
"species" 185 0.0124820327356381 "Zotu233_P2_A01_16IZPOC1_S502_N707;size=1" 6
"species" 185 0.0124820327356381 "Zotu301_P2_C01_18IZTAC3_S503_N707;size=1" 6
"species" 185 0.0124820327356381 "Zotu177_P2_A01_16IZPOC1_S502_N707;size=1" 6
"species" 152 0.00239486011643514 "Zotu109_P1_A01_32TCONS2_S502_N701;size=18" 6
"species" 152 0.00239486011643514 "Zotu133_P1_A01_32TCONS2_S502_N701;size=8" 6
"species" 152 0.00239486011643514 "Zotu152_P1_A01_32TCONS2_S502_N701;size=6" 6
"species" 152 0.00239486011643514 "Zotu159_P1_G03_33TCONS3_S506_N702;size=1" 6
"species" 152 0.00239486011643514 "Zotu57_P1_F11_78SHCON9_S508_N706;size=3" 6
"species" 152 0.00239486011643514 "Zotu183_P1_B06_71SHCON2_S508_N703;size=1" 6
"species" 195 0.00724048239635918 "Zotu217_P1_B08_17IZPOC2_S517_N704;size=3" 12
"species" 195 0.00724048239635918 "Zotu213_P1_B08_17IZPOC2_S517_N704;size=3" 12
"species" 195 0.00724048239635918 "Zotu228_P2_A01_16IZPOC1_S502_N707;size=2" 12
"species" 195 0.00724048239635918 "Zotu252_P1_B08_17IZPOC2_S517_N704;size=2" 12
"species" 195 0.00724048239635918 "Zotu289_P2_C01_18IZTAC3_S503_N707;size=1" 12
"species" 195 0.00724048239635918 "Zotu224_P1_B08_17IZPOC2_S517_N704;size=3" 12
"species" 195 0.00724048239635918 "Zotu187_P1_B08_17IZPOC2_S517_N704;size=3" 12
"species" 195 0.00724048239635918 "Zotu170_P2_A01_16IZPOC1_S502_N707;size=2" 12
"species" 195 0.00724048239635918 "Zotu214_P1_B08_17IZPOC2_S517_N704;size=3" 12
"species" 195 0.00724048239635918 "Zotu226_P1_B08_17IZPOC2_S517_N704;size=3" 12
"species" 195 0.00724048239635918 "Zotu152_P1_B08_17IZPOC2_S517_N704;size=2" 12
"species" 195 0.00724048239635918 "Zotu209_P2_A01_16IZPOC1_S502_N707;size=2" 12
"species" 194 0.00238912308271239 "Zotu225_P1_B08_17IZPOC2_S517_N704;size=3" 2
"species" 194 0.00238912308271239 "Zotu171_P1_B08_17IZPOC2_S517_N704;size=1" 2
"species" 182 0.00560233653698422 "Zotu19_P1_B08_17IZPOC2_S517_N704;size=3" 7
"species" 182 0.00560233653698422 "Zotu97_P1_B08_17IZPOC2_S517_N704;size=2" 7
"species" 182 0.00560233653698422 "Zotu122_P1_B08_17IZPOC2_S517_N704;size=2" 7
"species" 182 0.00560233653698422 "Zotu160_P2_C01_18IZTAC3_S503_N707;size=1" 7
"species" 182 0.00560233653698422 "Zotu87_P2_A01_16IZPOC1_S502_N707;size=2" 7
"species" 182 0.00560233653698422 "Zotu3_P1_B08_17IZPOC2_S517_N704;size=3" 7
"species" 182 0.00560233653698422 "Zotu62_P2_A01_16IZPOC1_S502_N707;size=1" 7
"species" 189 0.00767477850284767 "Zotu101_P1_A03_38TCONS8_S503_N702;size=4" 4
"species" 189 0.00767477850284767 "Zotu231_P1_D05_13SHC4C1_S505_N703;size=1" 4
"species" 189 0.00767477850284767 "Zotu12_P1_D05_13SHC4C1_S505_N703;size=3" 4
"species" 189 0.00767477850284767 "Zotu267_P2_G02_14SHCN5C2_S517_N707;size=1" 4
"species" 178 0.00119270069966945 "Zotu107_P2_A01_16IZPOC1_S502_N707;size=1" 2
"species" 178 0.00119270069966945 "Zotu232_P2_A01_16IZPOC1_S502_N707;size=1" 2
"species" 151 0.00179342355578274 "Zotu84_P2_A01_16IZPOC1_S502_N707;size=2" 3
"species" 151 0.00179342355578274 "Zotu109_P2_A01_16IZPOC1_S502_N707;size=1" 3
