,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_AAB_109ACON22,1.338313734,1.339499651,1.339347984,1.339906402,1.340571641,1.34110503,1.33997252,1.339582319,1.341013414,1.260561673,1.261277391,1.261226184,1.259846079,1.259832642,1.259935148,1.265837492,1.265688812,1.264964731,1.008397557,1.008747007,1.010480808,1.010255752,1.011391262,1.011842465,1.012828067,1.014061297,1.014925576,0.7097432293,0.6702792625,0.6212105521,0,0.4832023122,0.5851926894,0.8930692235,0.8985908341,0.9025091199,0.908409481,0.9127535756,0.9172917853,0.9223104305,0.9253492069,0.9286655392
CON_NTO_AAB_110ACON23,1.339198954,1.340383768,1.340231845,1.340788869,1.341453705,1.341987197,1.340854733,1.340464359,1.341894436,1.261498404,1.262214096,1.26216386,1.260792291,1.26077807,1.260879499,1.266771304,1.266622334,1.265899289,1.009673034,1.009985026,1.011693169,1.011442569,1.012520635,1.012934879,1.013846672,1.015095387,1.015966576,0.7315666859,0.6989153058,0.6609595515,0.4832023122,0,0.5036324048,0.8871947738,0.8929813222,0.8970966848,0.9032240955,0.907736408,0.9124312276,0.9176723997,0.9208119801,0.924261813
CON_NTO_AAB_111ACON24,1.340248484,1.34143246,1.341280426,1.34183658,1.34250103,1.343034433,1.341902294,1.341511935,1.342941101,1.262612951,1.263328173,1.263278593,1.261913127,1.261898473,1.261999205,1.267880653,1.267731597,1.267009656,1.010919916,1.011188005,1.012868262,1.012587064,1.013598716,1.013969853,1.01479573,1.016064426,1.016944962,0.7530531041,0.7258028247,0.6957229561,0.5851926894,0.5036324048,0,0.8798375561,0.8859624199,0.8903241018,0.8967497504,0.9014796945,0.9063806834,0.9118950118,0.9151653122,0.918779947
CON_NTO_AAB_120ACON10,1.358764169,1.359946628,1.359800763,1.360367959,1.361029187,1.361554777,1.360435979,1.360052461,1.361476393,1.282244627,1.2829397,1.282885609,1.281495325,1.281488651,1.281595766,1.287381603,1.287238827,1.286530109,1.0302377,1.0298693,1.031071606,1.030363998,1.030366491,1.030090792,1.029610432,1.031113989,1.032091838,0.9219771983,0.9148935114,0.9084315065,0.8930692235,0.8871947738,0.8798375561,0,0.4838287156,0.5618996218,0.6196370207,0.6532363989,0.681030761,0.7110327859,0.7247413249,0.7403564121
CON_NTO_AAB_121ACON11,1.359612748,1.360796031,1.360651038,1.3612206,1.361881905,1.362406666,1.361289076,1.360906358,1.362330756,1.283149019,1.283842257,1.283786858,1.282386447,1.28238123,1.282489922,1.288276608,1.28813468,1.287426231,1.030782056,1.030385714,1.03156646,1.030840143,1.030797577,1.030492939,1.029953725,1.031467272,1.032449155,0.9263649403,0.9195262738,0.91330961,0.8985908341,0.8929813222,0.8859624199,0.4838287156,0,0.4583654698,0.5619001063,0.6110706311,0.6484368475,0.685247432,0.7017937561,0.7200924023
CON_NTO_AAB_122ACON12,1.360203084,1.361387532,1.361243562,1.361816052,1.362477544,1.363001377,1.361885088,1.361503284,1.362928447,1.283786753,1.284478008,1.284420945,1.283007393,1.283003954,1.283114631,1.288904903,1.288763967,1.288055547,1.03078649,1.030365656,1.03153126,1.03078746,1.030707143,1.030377646,1.029788261,1.031313822,1.032301452,0.9294428628,0.922781783,0.9167470432,0.9025091199,0.8970966848,0.8903241018,0.5618996218,0.4583654698,0,0.4933064504,0.5679730565,0.6185907957,0.661178173,0.6810311699,0.7017939383
CON_NTO_AAB_123ACON13,1.361236224,1.362420477,1.362276699,1.362849402,1.363510718,1.364034275,1.362918489,1.362536916,1.363961744,1.284868336,1.285558848,1.285501755,1.284088495,1.284085237,1.284195994,1.289981281,1.289840535,1.289132745,1.032302142,1.031859592,1.032998642,1.032243088,1.032123068,1.031769633,1.031130467,1.032655319,1.033640328,0.9343276465,0.9279007368,0.9220877961,0.908409481,0.9032240955,0.8967497504,0.6196370207,0.5619001063,0.4933064504,0,0.4583656861,0.5541608386,0.619637257,0.6457981866,0.6729037651
CON_NTO_AAB_124ACON14,1.362010919,1.363195311,1.36305188,1.36362539,1.364286642,1.364809819,1.363694635,1.363313411,1.364738213,1.285683169,1.286372781,1.286315291,1.284899223,1.284896478,1.285007735,1.290790815,1.29065041,1.289943009,1.033258406,1.032797609,1.033916941,1.033150765,1.032998595,1.032625405,1.031945413,1.03347189,1.034456209,0.9379200336,0.9316643773,0.9260157122,0.9127535756,0.907736408,0.9014796945,0.6532363989,0.6110706311,0.5679730565,0.4583656861,0,0.4686864638,0.5749749718,0.6099242736,0.6448944101
CON_NTO_AAB_125ACON15,1.362878834,1.364062877,1.363919452,1.364492716,1.365153783,1.365676848,1.364561925,1.364180772,1.365605157,1.286587514,1.287276758,1.287219493,1.285805686,1.285802833,1.285913861,1.291691908,1.291551523,1.290844685,1.034673691,1.034198014,1.035295877,1.034522581,1.034341642,1.033951574,1.033236148,1.034759237,1.035739796,0.9417446505,0.9356568697,0.9301646781,0.9172917853,0.9124312276,0.9063806834,0.681030761,0.6484368475,0.6185907957,0.5541608386,0.4686864638,0,0.514545862,0.561899739,0.6110695767
CON_NTO_AAB_126ACON16,1.363727817,1.364913812,1.364772056,1.365350135,1.366011539,1.366533113,1.365420261,1.365040581,1.366466287,1.28750684,1.288192938,1.288132938,1.286697438,1.286697484,1.286811766,1.292596528,1.292457748,1.291750856,1.034612638,1.034101386,1.035176276,1.034377817,1.034141427,1.033714969,1.032925874,1.03446559,1.035453936,0.9457844156,0.9399069667,0.9346286546,0.9223104305,0.9176723997,0.9118950118,0.7110327859,0.685247432,0.661178173,0.619637257,0.5749749718,0.514545862,0,0.4233990127,0.5280313725
